run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
samp_90	-18.459029957559288		0.0	-1.0978534878075945	2.0	-4.540207616818509	1.0		0.0	-2.121208510603368	4.0		0.0	-1.0856365431628423	1.0		0.0
samp_91	-18.343864581045878	-2.510724144644947	3.0		0.0		0.0		0.0	-2.1212045079308877	1.0	-2.6982393247254537	2.0		0.0	-5.002352026900949	2.0
samp_92	0.32858332761056475	-2.0534084057227853	1.0	-0.5797980352013229	1.0	-4.1057409134354454	2.0	-4.793221521094523	3.0	-1.6471665860107245	1.0		0.0		0.0		0.0
samp_93	-1.1526641128454878	-2.3713519366996794	1.0	-0.9512122996591359	1.0	-4.4030749281522965	3.0	-5.093258559667798	1.0		0.0		0.0	-0.9345645518578565	1.0	-4.8655533704395175	1.0
samp_94	-1.469585186584408		0.0		0.0	-4.436739957833253	1.0	-5.127526549908411	1.0	-2.014396776754895	1.0	-2.5935530561472717	2.0	-0.9730337662350803	2.0	-4.899074302679255	1.0
samp_95	-19.2482066882785		0.0		0.0	-4.540205032995912	2.0		0.0		0.0	-2.6982477905472324	2.0	-1.0856239575236828	4.0		0.0
samp_96	-18.304894101937236	-2.5107280071729225	1.0		0.0	-4.540209057623629	1.0		0.0	-2.1212055259066154	2.0	-2.6982746534116058	2.0	-1.0856284163562397	1.0	-5.002344371022589	1.0
samp_97	-21.05277132769022	-2.5107249156930456	1.0	-1.0978472724112447	2.0	-4.540203912177293	1.0		0.0	-2.1212094101807613	2.0	-2.6982483263027595	2.0		0.0		0.0
samp_98	-1.1565024569268516	-2.3718279198484007	2.0		0.0	-4.403534262175102	1.0	-5.093726447464021	1.0		0.0	-2.5595102716559057	2.0		0.0	-4.866011136987429	2.0
samp_99	-0.21298385437922673	-2.2045934704799803	1.0	-0.762883368857432	1.0	-4.244487854569489	2.0	-4.932648717206756	2.0		0.0		0.0	-0.7404221131352514	2.0		0.0
